belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,name_director,release_year,return
,62000000,"Comedy, Drama, Romance",9087,en,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,"Columbia Pictures, Castle Rock Entertainment",United States of America,1995-11-17,107879496.0,106.0,English,Released,Why can't the most powerful man in the world have the one thing he wants most?,The American President,6.5,199.0,"Michael Douglas, Annette Bening, Michael J. Fox",Rob Reiner,1995,1.739991870967742
,0,"Comedy, Horror",12110,en,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,"Columbia Pictures, Castle Rock Entertainment, Enigma Pictures","France, United States of America",1995-12-22,0.0,88.0,"English, Deutsch",Released,,Dracula: Dead and Loving It,5.7,210.0,"Leslie Nielsen, Mel Brooks, Amy Yasbeck",Mel Brooks,1995,0.0
Balto Collection,0,"Family, Animation, Adventure",21032,en,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,"Universal Pictures, Amblin Entertainment, Amblimation",United States of America,1995-12-22,11348324.0,78.0,English,Released,Part Dog. Part Wolf. All Hero.,Balto,7.1,423.0,"Kevin Bacon, Bob Hoskins, Bridget Fonda",Simon Wells,1995,0.0
,44000000,"History, Drama",10858,en,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,"Hollywood Pictures, Cinergi Pictures Entertainment",United States of America,1995-12-22,13681765.0,192.0,English,Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,7.1,72.0,"Anthony Hopkins, Joan Allen, Powers Boothe",Oliver Stone,1995,0.31094920454545455
,98000000,"Action, Adventure",1408,en,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,"Le Studio Canal+, Laurence Mark Productions, Metro-Goldwyn-Mayer (MGM), Carolco Pictures","France, Germany, Italy, United States of America",1995-12-22,10017322.0,119.0,"English, Latin",Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,5.7,137.0,"Geena Davis, Matthew Modine, Frank Langella",Renny Harlin,1995,0.10221757142857144
,52000000,"Drama, Crime",524,en,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,"Universal Pictures, Légende Entreprises, Syalis DA, De Fina-Cappa","France, United States of America",1995-11-22,116112375.0,178.0,English,Released,No one stays at the top forever.,Casino,7.8,1343.0,"Robert De Niro, Sharon Stone, Joe Pesci",Martin Scorsese,1995,2.2329302884615383
,16500000,"Drama, Romance",4584,en,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,"Columbia Pictures Corporation, Mirage Enterprises","United Kingdom, United States of America",1995-12-13,135000000.0,136.0,English,Released,Lose your heart and come to your senses.,Sense and Sensibility,7.2,364.0,"Kate Winslet, Emma Thompson, Hugh Grant",Ang Lee,1995,8.181818181818182
,4000000,"Crime, Comedy",5,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,"Miramax Films, A Band Apart",United States of America,1995-12-09,4300000.0,98.0,English,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,539.0,"Tim Roth, Antonio Banderas, Jennifer Beals",Allison Anders,1995,1.075
Ace Ventura Collection,30000000,"Crime, Comedy, Adventure",9273,en,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,"O Entertainment, Warner Bros., Morgan Creek Productions",United States of America,1995-11-10,212385533.0,90.0,English,Released,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,6.1,1128.0,"Jim Carrey, Ian McNeice, Simon Callow",Steve Oedekerk,1995,7.079517766666667
,60000000,"Action, Comedy, Crime",11517,en,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,Columbia Pictures,United States of America,1995-11-21,35431113.0,103.0,English,Released,"Get on, or GET OUT THE WAY!",Money Train,5.4,224.0,"Wesley Snipes, Woody Harrelson, Jennifer Lopez",Joseph Ruben,1995,0.59051855
Chili Palmer Collection,30250000,"Comedy, Thriller, Crime",8012,en,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,"Jersey Films, Metro-Goldwyn-Mayer (MGM)",United States of America,1995-10-20,115101622.0,105.0,English,Released,"The mob is tough, but it’s nothing like show business.",Get Shorty,6.4,305.0,"John Travolta, Gene Hackman, Rene Russo",Barry Sonnenfeld,1995,3.805012297520661
,0,"Drama, Thriller",1710,en,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,10.701801,"Regency Enterprises, New Regency Pictures",United States of America,1995-10-27,0.0,124.0,"English, Deutsch",Released,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,6.5,199.0,"Sigourney Weaver, Holly Hunter, Will Patton",Jon Amiel,1995,0.0
,50000000,"Action, Adventure, Crime, Thriller",9691,en,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,"Silver Pictures, Canal+, Warner Bros., Dino De Laurentiis Company, Donner/Shuler-Donner Productions, Evansgideon/Lazar","France, United States of America",1995-10-06,30303072.0,132.0,"English, Español, Nederlands",Released,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,6.0,394.0,"Sylvester Stallone, Antonio Banderas, Julianne Moore",Richard Donner,1995,0.60606144
,0,"Drama, Fantasy, Science Fiction, Thriller",12665,en,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",12.133094,"Caravan Pictures, Hollywood Pictures",United States of America,1995-10-27,0.0,111.0,English,Released,An extraordinary encounter with another human being.,Powder,6.3,143.0,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen",Victor Salva,1995,0.0
,3600000,"Drama, Romance",451,en,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,"United Artists, Intial Productions",United States of America,1995-10-27,49800000.0,112.0,English,Released,I Love You... The Way You Are.,Leaving Las Vegas,7.1,365.0,"Nicolas Cage, Elisabeth Shue, Julian Sands",Mike Figgis,1995,13.833333333333334
,0,Drama,16420,en,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1.845899,"Columbia Pictures, Castle Rock Entertainment",Italy,1995-12-15,0.0,123.0,English,Released,"Envy, greed, jealousy and love.",Othello,7.0,33.0,"Laurence Fishburne, Irène Jacob, Kenneth Branagh",Oliver Parker,1995,0.0
,12000000,"Comedy, Drama, Family",9263,en,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.681325,New Line Cinema,United States of America,1995-10-20,27400000.0,100.0,English,Released,In every woman there is the girl she left behind.,Now and Then,6.6,91.0,"Christina Ricci, Rosie O'Donnell, Thora Birch",Lesli Linka Glatter,1995,2.283333333333333
,0,"Drama, Romance",17015,en,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",2.228434,BBC Films,"United Kingdom, France",1995-09-27,0.0,104.0,English,Released,,Persuasion,7.4,36.0,"Amanda Root, Ciarán Hinds, Susan Fleetwood",Roger Michell,1995,0.0
,18000000,"Fantasy, Science Fiction, Adventure",902,fr,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,"Procirep, Constellation Productions, France 3 Cinéma, Claudie Ossard Productions, Eurimages, MEDIA Programme of the European Union, Cofimage 5, Televisión Española (TVE), Tele München Fernseh Produktionsgesellschaft (TMG), Club d'Investissement Média, Canal+ España, Elías Querejeta Producciones Cinematográficas S.L., Centre National de la Cinématographie (CNC), Victoires Productions, Constellation, Lumière Pictures, Canal+, Studio Image, Cofimage 4, Ossane, Phoenix Images","France, Germany, Spain",1995-05-16,1738611.0,108.0,"广州话 / 廣州話, Français",Released,Where happily ever after is just a dream.,The City of Lost Children,7.6,308.0,"Ron Perlman, Dominique Pinon, Judith Vittet",Jean-Pierre Jeunet,1995,0.0965895
,0,"Drama, Crime",37557,zh,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,1.100915,"Ministère des Affaires Étrangères, Alpha Films, La Sept Cinéma","China, France",1995-04-30,0.0,108.0,普通话,Released,In 1930's Shanghai violence was not the problem. It was the solution.,Shanghai Triad,6.5,17.0,"Gong Li, Li Bao-Tian, Wang Xiaoxiao",Zhang Yimou,1995,0.0
,0,"Drama, Crime",9909,en,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",9.481338,"Hollywood Pictures, Via Rosa Productions, Don Simpson/Jerry Bruckheimer Films",United States of America,1995-08-11,180000000.0,99.0,English,Released,She broke the rules... and changed their lives.,Dangerous Minds,6.4,249.0,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance",John N. Smith,1995,0.0
,29500000,"Science Fiction, Thriller, Mystery",63,en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,"Universal Pictures, Atlas Entertainment, Classico",United States of America,1995-12-29,168840000.0,129.0,"English, Français",Released,The future is history.,Twelve Monkeys,7.4,2470.0,"Bruce Willis, Madeleine Stowe, Brad Pitt",Terry Gilliam,1995,5.7233898305084745
,0,"Romance, Adventure",78802,fr,,0.745542,Iwerks Entertainment,"France, United States of America",1996-09-18,0.0,50.0,English,Released,,Wings of Courage,6.8,4.0,"Craig Sheffer, Elizabeth McGovern, Tom Hulce",Jean-Jacques Annaud,1996,0.0
Babe Collection,30000000,"Fantasy, Drama, Comedy, Family",9598,en,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764,"Universal Pictures, Kennedy Miller Productions","Australia, United States of America",1995-07-18,254134910.0,89.0,English,Released,A little pig goes a long way.,Babe,6.0,756.0,"Christine Cavanaugh, Miriam Margolyes, Danny Mann",Chris Noonan,1995,8.471163666666667
,0,"History, Drama, Romance",47018,en,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",1.493361,"StudioCanal, Cinéa, Euston Films, Freeway Films, European Co-production Fund, Polygram Filmed Entertainment, Orsans Productions","France, United Kingdom",1995-11-08,0.0,121.0,English,Released,A Love so Unusual it has to be True,Carrington,6.4,16.0,"Emma Thompson, Jonathan Pryce, Steven Waddington",Christopher Hampton,1995,0.0
,11000000,Drama,687,en,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,"Havoc, PolyGram Filmed Entertainment, Working Title Films","United States of America, United Kingdom",1995-12-29,39363635.0,122.0,English,Released,,Dead Man Walking,7.3,350.0,"Susan Sarandon, Sean Penn, Robert Prosky",Tim Robbins,1995,3.5785122727272727
,0,"Adventure, History, Drama, Family",139405,en,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",0.114469,Sony New Technologies,United States of America,1995-10-20,0.0,51.0,"Pусский, English",Released,,Across the Sea of Time,3.5,2.0,"Peter Reznick, John McDonough, Avi Hoffman",Stephen Low,1995,0.0
,0,"Comedy, Family, Romance",33689,en,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",7.777735,"Dualstar Productions, Warner Bros., Rysher Entertainment, Orr & Cruickshank",United States of America,1995-11-17,0.0,101.0,English,Released,Two identical strangers. Two different worlds. One perfect match.,It Takes Two,6.1,149.0,"Kirstie Alley, Steve Guttenberg, Ashley Olsen",Andy Tennant,1995,0.0
,12000000,"Comedy, Drama, Romance",9603,en,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",9.882383,Paramount Pictures,United States of America,1995-07-19,0.0,97.0,"Español, English",Released,Sex. Clothes. Popularity. Is there a problem here?,Clueless,6.9,828.0,"Alicia Silverstone, Stacey Dash, Brittany Murphy",Amy Heckerling,1995,0.0
,0,Drama,34615,en,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,0.894647,"Miramax, Distant Horizon, Alpine Pty Limited",South Africa,1995-12-15,676525.0,106.0,English,Released,,"Cry, the Beloved Country",6.7,13.0,"James Earl Jones, Charles S. Dutton, Jack Robinson",Darrell James Roodt,1995,0.0
,0,"Drama, War",31174,en,Shakespeare's Play transplanted into a 1930s setting.,4.561387,"British Screen, Mayfair Entertainment International","United Kingdom, United States of America",1995-12-29,0.0,104.0,English,Released,"I can smile, and murder while I smile",Richard III,6.9,50.0,"Ian McKellen, Annette Bening, Jim Broadbent",Richard Loncraine,1995,0.0
,10000000,"Action, Crime, Drama, History",11443,en,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",9.87957,"Caravan Pictures, Underworld Entertainment, Hollywood Pictures",United States of America,1995-10-06,0.0,119.0,English,Released,"In this daring heist, the only color that counts is green",Dead Presidents,6.6,80.0,"Larenz Tate, Keith David, Chris Tucker",Albert Hughes,1995,0.0
,19000000,"Drama, Romance",35196,en,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",10.979269,Miramax Films,United States of America,1995-12-29,0.0,117.0,"English, Español",Released,,Restoration,6.3,30.0,"Robert Downey Jr., Meg Ryan, Sam Neill",Michael Hoffman,1995,0.0
Mortal Kombat Collection,18000000,"Action, Fantasy",9312,en,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",10.870138,"New Line Cinema, Threshold Entertainment",United States of America,1995-08-18,122195920.0,101.0,English,Released,Nothing In This World Has Prepared You For This.,Mortal Kombat,5.4,452.0,"Christopher Lambert, Robin Shou, Linden Ashby",Paul W.S. Anderson,1995,6.788662222222222
,20000000,"Fantasy, Drama, Comedy, Thriller",577,en,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,"The Rank Organisation, Columbia Pictures Corporation",United States of America,1995-05-20,21284514.0,106.0,English,Released,All she wanted was a little attention.,To Die For,6.7,177.0,"Nicole Kidman, Matt Dillon, Joaquin Phoenix",Gus Van Sant,1995,1.0642257
,10000000,"Drama, Romance",11861,en,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,"Universal Pictures, Amblin Entertainment",United States of America,1995-10-06,23574130.0,116.0,English,Released,There's beauty in the patterns of life.,How To Make An American Quilt,6.5,38.0,"Winona Ryder, Anne Bancroft, Ellen Burstyn",Jocelyn Moorhouse,1995,2.357413
,33000000,"Crime, Mystery, Thriller",807,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",United States of America,1995-09-22,327311859.0,127.0,English,Released,Seven deadly sins. Seven ways to die.,Se7en,8.1,5915.0,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow",David Fincher,1995,9.918541181818181
Pocahontas Collection,55000000,"Adventure, Animation, Drama, Family",10530,en,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,"Walt Disney Pictures, Walt Disney Feature Animation",United States of America,1995-06-14,346079773.0,81.0,English,Released,An American legend comes to life.,Pocahontas,6.7,1509.0,"Irene Bedard, Mel Gibson, David Ogden Stiers",Mike Gabriel,1995,6.292359509090909
,0,"Drama, Romance",8391,en,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",3.302524,Alliance Communications Corporation,Canada,1995-05-05,0.0,96.0,English,Released,,When Night Is Falling,5.9,10.0,"Pascale Bussières, Rachael Crawford, Henry Czerny",Patricia Rozema,1995,0.0
,6000000,"Drama, Crime, Thriller",629,en,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,"Blue Parrot Productions, Bad Hat Harry Productions",United States of America,1995-07-19,23341568.0,106.0,"Español, English, Français, Magyar",Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,8.1,3334.0,"Stephen Baldwin, Gabriel Byrne, Chazz Palminteri",Bryan Singer,1995,3.890261333333333
,0,"Action, Thriller, Drama",117164,en,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",0.595949,,,1994-11-22,0.0,93.0,,Released,She's no angel of mercy.,Guardian Angel,6.3,3.0,"Cynthia Rothrock, Marshall R. Teague, Daniel McVicar",Richard W. Munchkin,1994,0.0
